Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 242, 139
4, 4096, 1708, 607
4, 32768, 12402, 4349
4, 262144, 106794, 34350
4, 2097152, 799312, 269966
8, 512, 311, 142
8, 4096, 2403, 608
8, 32768, 20324, 4440
8, 262144, 158498, 33984
8, 2097152, 1244544, 269442
12, 512, 422, 148
12, 4096, 3213, 618
12, 32768, 27098, 4603
12, 262144, 214275, 36539
12, 2097152, 1667883, 308534
16, 512, 530, 279
16, 4096, 4124, 666
16, 32768, 34306, 4872
16, 262144, 270955, 37417
16, 2097152, 2100369, 302286
