Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 203, 626
4, 4096, 2284, 4596
4, 32768, 20508, 36151
4, 262144, 106506, 288848
4, 2097152, 819722, 2310280
8, 512, 311, 723
8, 4096, 3322, 5295
8, 32768, 27595, 41345
8, 262144, 160492, 331066
8, 2097152, 1249932, 2651562
12, 512, 420, 772
12, 4096, 5896, 5977
12, 32768, 32279, 47105
12, 262144, 217623, 375460
12, 2097152, 1683549, 3016950
16, 512, 541, 872
16, 4096, 8903, 6549
16, 32768, 40049, 51967
16, 262144, 273556, 415048
16, 2097152, 2165256, 3322820
