Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 202, 657
4, 4096, 2303, 4767
4, 32768, 18188, 37658
4, 262144, 103264, 300716
4, 2097152, 785224, 2405298
8, 512, 315, 730
8, 4096, 3283, 5391
8, 32768, 22203, 42182
8, 262144, 153545, 337097
8, 2097152, 1183160, 2697404
12, 512, 420, 790
12, 4096, 4015, 5838
12, 32768, 30669, 46156
12, 262144, 202821, 368599
12, 2097152, 1576754, 3130556
16, 512, 804, 903
16, 4096, 4803, 6888
16, 32768, 36576, 54674
16, 262144, 251759, 436758
16, 2097152, 1981351, 3516036
