num_clusters,num_points,faiss_time_cpu,faiss_time_gpu,sklearn_time
4,512,421473.2669999819,4018.8629999988734,40573.90899998836
4,1024,36398.93200002575,3004.7920000129125,35348.593999998455
4,2048,43098.0510000154,3540.5710000020463,34503.556999993634
4,4096,80271.94399997484,4848.714999980075,40029.991000011476
4,8192,38365.27400000022,9463.017000001628,6003.7320000105865
4,16384,17253.869000001032,73452.71500000195,53842.443000007734
4,32768,56003.790000005436,8348.987000005081,49938.68400001134
4,65536,214478.09900001858,3316.114000000425,48751.4170000054
8,512,57727.40199998338,3140.151999986074,23751.80099997465
8,1024,62232.589999979384,2881.8199999989247,33186.28800002443
8,2048,34295.91599999071,6683.194000004278,52686.93399997915
8,4096,76652.41600000171,6765.758000000233,9411.994000004142
8,8192,56519.28500000736,5642.469000008532,44804.24900000912
8,16384,64389.8820000004,5987.567999994781,11670.366999993576
8,32768,74856.40499999135,6791.781999993418,61784.01699997949
8,65536,98383.59799999808,48325.98999999504,62752.67099999837
12,512,330793.58099999465,156340.9770000135,26130.80900002274
12,1024,195793.83800001437,4074.840000015456,38970.694999989064
12,2048,135003.36100000254,4515.033999979323,49370.65400000051
12,4096,156026.32799999582,8532.830999996577,60611.33500000437
12,8192,102638.38800000258,5911.048999990953,54786.04199998926
12,16384,168104.440999997,6522.372000006271,49138.05999998999
12,32768,181835.0320000093,6203.218999985438,59230.42200001305
12,65536,141945.36400000856,8958.459999973911,76110.59900000328
16,512,144637.79100000806,2396.5309999880446,30444.006000010406
16,1024,53373.4600000173,54611.8139999976,26534.043999987487
16,2048,46898.93099998699,3654.9790000037774,62478.97800000146
16,4096,111980.57199999312,6746.6950000039105,66447.09299999363
16,8192,93209.60299999116,7826.749000003019,54370.433999991976
16,16384,147784.01699999222,8534.734000022581,80520.33300000972
16,32768,328179.09999999986,34235.329000011916,163591.10500002315
16,65536,278029.2470000063,10318.317999974624,82688.50100000692
32,512,40329.564999979084,5074.730999979238,23969.426999997268
32,1024,23756.42100000164,9825.627999987319,22663.666999989116
32,2048,26473.652000021277,6129.718000011053,48816.285000015116
32,4096,118245.7310000018,5526.710999987472,55041.83799999396
32,8192,166040.28099999367,54092.12700001831,48983.00100001052
32,16384,72377.59500000607,11614.489000010053,45416.73600002127
32,32768,91071.16199999154,9127.214000017148,87798.84300000162
32,65536,76115.55500000122,175282.1249999954,98464.263000011
