Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 195, 97
4, 1024, 382, 108
4, 2048, 741, 143
4, 4096, 1483, 208
4, 8192, 2950, 342
4, 16384, 5866, 613
4, 32768, 13283, 1153
4, 65536, 23538, 2232
8, 512, 303, 91
8, 1024, 596, 109
8, 2048, 1187, 131
8, 4096, 2368, 203
8, 8192, 4706, 356
8, 16384, 9394, 637
8, 32768, 18784, 1198
8, 65536, 38313, 2322
12, 512, 1046, 136
12, 1024, 820, 86
12, 2048, 1625, 126
12, 4096, 3250, 197
12, 8192, 6570, 341
12, 16384, 12891, 617
12, 32768, 25744, 1195
12, 65536, 52626, 2325
16, 512, 524, 72
16, 1024, 1031, 89
16, 2048, 2056, 130
16, 4096, 4103, 204
16, 8192, 8175, 351
16, 16384, 16344, 643
16, 32768, 32551, 1242
16, 65536, 69828, 2406
32, 512, 974, 75
32, 1024, 1928, 91
32, 2048, 3852, 134
32, 4096, 7629, 241
32, 8192, 15197, 418
32, 16384, 30324, 748
32, 32768, 60572, 1445
32, 65536, 121354, 2822
